city,state,month,year,supply_score,demand_score,median_listing_price_yy,median_days_on_market_yy,unique_viewers_per_property_yy,mortgage_rate,date,date_month_num,hotness_rank_yy,hotness_rank,class,city_state,latitude,longitude
lakeland,fl,July,2021,53.96322131,62.65060241,0.2106911669999999,-0.5,1.52173913,2.18,2021-07-01,7,651,554,2,"lakeland, fl",28.038134,-81.939153
muskegon,mi,July,2021,70.7038681,38.68103995,-0.124635265,-0.38,0.419354839,2.18,2021-07-01,7,-10,651,3,"muskegon, mi",43.232589,-86.249191
thomasville,ga,July,2021,13.12618897,29.23272036,0.196478591,-0.378531073,1.6,2.18,2021-07-01,7,75,1365,1,"thomasville, ga",30.8665,-83.9233
sayre,pa,July,2021,1.6487000630000002,6.4045656310000005,-0.105318589,1.295081967,-0.2,2.18,2021-07-01,7,-140,1536,1,"sayre, pa",41.984222,-76.521757
enterprise,al,July,2021,42.23208624,16.7406468,-0.039737991,-0.462068966,0.8235294120000001,2.18,2021-07-01,7,86,1242,1,"enterprise, al",31.340789,-85.842111
wenatchee,wa,July,2021,93.97590361,62.71401395,0.133488665,-0.517241379,1.107142857,2.18,2021-07-01,7,381,200,0,"wenatchee, wa",47.425269,-120.327345
la grande,or,July,2021,16.7406468,54.34369055,0.238938053,-0.26618705,0.636363636,2.18,2021-07-01,7,-156,1126,2,"la grande, or",45.330435,-118.085228
shawano,wi,July,2021,53.96322131,75.58655675,0.08967021,-0.419354839,0.2321428569999999,2.18,2021-07-01,7,-13,406,2,"shawano, wi",44.785133,-88.603599
russellville,ar,July,2021,20.54533925,45.02219404,0.017643678,-0.132743363,1.181818182,2.18,2021-07-01,7,-147,1172,1,"russellville, ar",35.284208,-93.131476
cullman,al,July,2021,31.83259353,28.2181357,0.08111031,-0.3812949639999999,0.461538462,2.18,2021-07-01,7,-107,1230,1,"cullman, al",34.176146,-86.829777
boone,ia,July,2021,5.897273304,25.55485098,0.386666667,0.0,0.027777778,2.18,2021-07-01,7,-528,1430,1,"boone, ia",42.069354,-93.878083
charleston,sc,July,2021,95.94166138,66.32847178,0.102809237,-0.642857143,0.967741935,2.18,2021-07-01,7,613,160,0,"charleston, sc",32.962223,-79.86533
ashland,oh,July,2021,24.54026633,91.3126189,0.137467848,0.069767442,0.086419753,2.18,2021-07-01,7,-529,569,2,"ashland, oh",40.855892,-82.318931
weatherford,ok,July,2021,8.053265694,5.3899809770000005,-0.098143236,-0.326203209,0.727272727,2.18,2021-07-01,7,-26,1516,1,"weatherford, ok",35.535046,-98.699603
augusta,ga,July,2021,58.14838301,23.77932784,0.156069364,-0.263157895,0.666666667,2.18,2021-07-01,7,-181,1026,3,"augusta, ga",33.511692,-82.099505
crestview,fl,July,2021,82.37159163,54.15345593,0.089868644,-0.594202899,0.472222222,2.18,2021-07-01,7,515,343,3,"crestview, fl",30.77061,-86.553678
the dalles,or,July,2021,41.15409004,67.02599873,0.088243832,-0.440559441,1.296296296,2.18,2021-07-01,7,472,669,2,"the dalles, or",45.599504,-121.190493
roswell,nm,July,2021,16.7406468,9.13126189,0.040611778,-0.276595745,-0.142857143,2.18,2021-07-01,7,-354,1456,1,"roswell, nm",33.388504,-104.525857
salisbury,md,July,2021,20.54533925,31.51553583,0.045475216,-0.251908397,0.333333333,2.18,2021-07-01,7,-325,1306,1,"salisbury, md",38.362996,-75.592238
gloversville,ny,July,2021,10.65313887,36.46163602,0.329849013,-0.3559322029999999,0.194444444,2.18,2021-07-01,7,-264,1328,1,"gloversville, ny",43.061603,-74.337526
huntington,wv,July,2021,9.955611921,63.22130628,-0.1284699809999999,-0.100775194,0.552631579,2.18,2021-07-01,7,-352,1112,2,"huntington, wv",38.409726,-82.442348
monroe,la,July,2021,28.66201649,26.44261256,0.1082409219999999,-0.317829457,0.85,2.18,2021-07-01,7,-102,1278,1,"monroe, la",32.528551,-92.106104
grand rapids,mi,July,2021,50.15852885,84.97146481,-0.078171091,-0.149425287,0.274193548,2.18,2021-07-01,7,-273,356,2,"grand rapids, mi",42.9704,-85.6738
flagstaff,az,July,2021,65.56753329,63.79201015,0.348340249,-0.4,0.134615385,2.18,2021-07-01,7,-97,407,0,"flagstaff, az",35.185911,-111.661979
lewiston,me,July,2021,96.70259987,98.16106531,0.122678098,-0.4375,0.3,2.18,2021-07-01,7,-3,10,0,"lewiston, me",44.098538,-70.191619
utica,ny,July,2021,1.838934686,15.85288523,0.159512761,2.474747475,-0.268292683,2.18,2021-07-01,7,-1136,1501,1,"utica, ny",43.087112,-75.231463
marshall,tx,July,2021,53.96322131,65.82117945,0.054737305,-0.5414012739999999,0.794117647,2.18,2021-07-01,7,529,519,2,"marshall, tx",32.53378,-94.36191
watertown,sd,July,2021,8.053265694,8.877615726,0.520208083,0.058823529,0.043478261,2.18,2021-07-01,7,-446,1503,1,"watertown, sd",44.904295,-97.123977
brevard,nc,July,2021,5.897273304,73.43056436,0.0435161009999999,-0.4552529179999999,0.595238095,2.18,2021-07-01,7,43,1056,2,"brevard, nc",35.22076,-82.740444
columbus,ga,July,2021,70.7038681,29.48636652,0.22381833,-0.253012048,0.344827586,2.18,2021-07-01,7,-300,789,3,"columbus, ga",32.473035,-84.979456
butte,mt,July,2021,35.1934052,52.50475587,-0.001879307,-0.450980392,0.606060606,2.18,2021-07-01,7,84,962,2,"butte, mt",45.991579,-112.517807
marinette,wi,July,2021,20.54533925,49.58782498,-0.1139961999999999,-0.216,1.428571429,2.18,2021-07-01,7,5,1132,2,"marinette, wi",45.087403,-87.669684
quincy,il,July,2021,42.23208624,22.06721623,-0.09005059,-0.355371901,0.416666667,2.18,2021-07-01,7,-147,1184,1,"quincy, il",39.930701,-91.376284
aberdeen,wa,July,2021,70.7038681,18.38934686,0.320377358,-0.270588235,0.185185185,2.18,2021-07-01,7,-368,945,3,"aberdeen, wa",46.984293,-123.79629
van wert,oh,July,2021,93.97590361,79.70830691,0.020408163,-0.655737705,0.377358491,2.18,2021-07-01,7,331,87,0,"van wert, oh",40.868927,-84.590364
